Date,RELIANCE.NS
2022-12-23,1150.85888671875
2022-12-26,1160.9085693359375
2022-12-27,1170.4063720703125
2022-12-28,1170.2913818359375
2022-12-29,1169.7623291015625
2022-12-30,1171.55615234375
2023-01-02,1184.7564697265625
2023-01-03,1176.0865478515625
2023-01-04,1158.37890625
2023-01-05,1156.3092041015625
2023-01-06,1166.8187255859375
2023-01-09,1194.3690185546875
2023-01-10,1176.7073974609375
2023-01-11,1161.87451171875
2023-01-12,1136.78466796875
2023-01-13,1134.945068359375
2023-01-16,1124.136474609375
2023-01-17,1140.0963134765625
2023-01-18,1138.2105712890625
2023-01-19,1136.9918212890625
2023-01-20,1123.4696044921875
2023-01-23,1117.789306640625
2023-01-24,1111.189208984375
2023-01-25,1095.8271484375
2023-01-27,1075.0379638671875
